Designator,Mid X,Mid Y,Rotation,Layer
BZ1,131.27,-83.43,0.0,top
C1,157.11,-53.88,0.0,top
C10,121.53,-73.94,180.0,top
C11,121.615,-67.3,0.0,top
C12,148.865,-68.42,0.0,top
C13,125.215,-57.15,0.0,top
C14,121.475,-55.13,0.0,top
C15,121.385,-59.0,0.0,top
C16,121.43,-57.02,0.0,top
C17,121.435,-60.8,0.0,top
C18,121.405,-62.68,0.0,top
C19,121.435,-64.81,0.0,top
C2,152.125,-61.23,0.0,top
C3,128.365,-54.86,0.0,top
C4,125.05,-53.25,0.0,top
C5,135.99,-58.39,0.0,top
C6,141.25,-81.87,180.0,top
C7,149.46,-77.18,0.0,top
C8,121.58,-71.1,180.0,top
C9,121.49,-76.33,0.0,top
D1,133.5725,-93.77,0.0,top
D2,147.44,-58.87,0.0,top
D3,152.0325,-58.88,0.0,top
D4,132.4025,-51.56,0.0,top
D5,132.3875,-55.81,180.0,top
D6,141.185,-51.73,0.0,top
J1,142.1,-94.06,0.0,top
J3,153.04,-94.99,0.0,top
J5,151.25,-51.495,0.0,top
L1,147.03,-84.77,90.0,top
P1,119.58,-84.4,90.0,top
Q1,137.865,-54.98,90.0,top
R1,125.305,-62.67,0.0,top
R10,152.51,-64.35,0.0,top
R11,153.07,-90.1,0.0,top
R12,127.9,-75.82,0.0,top
R13,156.885,-68.42,0.0,top
R2,129.115,-72.56,0.0,top
R3,136.7,-63.27,0.0,top
R4,128.71,-90.98,0.0,top
R5,153.655,-74.97,0.0,top
R6,149.26,-89.96,0.0,top
R7,132.83,-73.65,90.0,top
R8,132.85,-65.67,0.0,top
R9,147.695,-64.32,0.0,top
SW1,162.15,-95.54,0.0,top
U2,140.44,-85.0025,270.0,top
U4,153.6875,-79.83,180.0,top
U5,142.8175,-54.75,180.0,top
U6,141.24,-73.42,315.0,top
U7,153.55,-84.4875,0.0,top
U8,132.81,-63.37,90.0,top
U9,121.33,-94.765,0.0,top
Y1,128.65,-93.82,0.0,top
